N,Structure,Operation,Time
8000,Unsorted Array,Min,0.00001900
8000,Unsorted Array,Predecessor,0.00002400
8000,Unsorted Array,Successor,0.00001800
8000,Sorted Array,Search,0.00000000
8000,Sorted Array,Insert,0.00001900
8000,Sorted Array,Delete,0.00003600
8000,Sorted Array,Max,0.00000000
8000,Sorted Array,Min,0.00000000
8000,Sorted Array,Predecessor,0.00000000
8000,Sorted Array,Successor,0.00000000
8000,Singly Unsorted,Search,0.00002200
8000,Singly Unsorted,Insert,0.00000000
8000,Singly Unsorted,Delete,0.00003900
8000,Singly Unsorted,Max,0.00002000
8000,Singly Unsorted,Min,0.00002200
8000,Singly Unsorted,Predecessor,0.00002400
8000,Singly Unsorted,Successor,0.00002400
8000,Singly Sorted,Search,0.00002300
8000,Singly Sorted,Insert,0.00002000
8000,Singly Sorted,Delete,0.00001500
8000,Singly Sorted,Max,0.00000000
8000,Singly Sorted,Min,0.00000000
8000,Singly Sorted,Predecessor,0.00000700
8000,Singly Sorted,Successor,0.00000000
8000,Doubly Unsorted,Search,0.00002700
8000,Doubly Unsorted,Insert,0.00000000
8000,Doubly Unsorted,Delete,0.00000000
8000,Doubly Unsorted,Max,0.00002600
8000,Doubly Unsorted,Min,0.00002800
8000,Doubly Unsorted,Predecessor,0.00002900
8000,Doubly Unsorted,Successor,0.00003300
8000,Doubly Sorted,Search,0.00002700
8000,Doubly Sorted,Insert,0.00002600
8000,Doubly Sorted,Delete,0.00000000
8000,Doubly Sorted,Max,0.00000000
8000,Doubly Sorted,Min,0.00000000
8000,Doubly Sorted,Predecessor,0.00000000
8000,Doubly Sorted,Successor,0.00000000
10000,Unsorted Array,Search,0.00001900
10000,Unsorted Array,Insert,0.00000000
10000,Unsorted Array,Delete,0.00000000
10000,Unsorted Array,Max,0.00002500
10000,Unsorted Array,Min,0.00002900
10000,Unsorted Array,Predecessor,0.00003100
10000,Unsorted Array,Successor,0.00002500
10000,Sorted Array,Search,0.00000000
10000,Sorted Array,Insert,0.00003000
10000,Sorted Array,Delete,0.00005100
10000,Sorted Array,Max,0.00000000
10000,Sorted Array,Min,0.00000000
10000,Sorted Array,Predecessor,0.00000000
10000,Sorted Array,Successor,0.00000000
10000,Singly Unsorted,Search,0.00003200
10000,Singly Unsorted,Insert,0.00000000
10000,Singly Unsorted,Delete,0.00005600
10000,Singly Unsorted,Max,0.00002600
10000,Singly Unsorted,Min,0.00003000
10000,Singly Unsorted,Predecessor,0.00003000
10000,Singly Unsorted,Successor,0.00003600
10000,Singly Sorted,Search,0.00003300
10000,Singly Sorted,Insert,0.00003300
10000,Singly Sorted,Delete,0.00002200
10000,Singly Sorted,Max,0.00000000
10000,Singly Sorted,Min,0.00000000
10000,Singly Sorted,Predecessor,0.00001100
10000,Singly Sorted,Successor,0.00000000
10000,Doubly Unsorted,Search,0.00004500
10000,Doubly Unsorted,Insert,0.00000000
10000,Doubly Unsorted,Delete,0.00000100
10000,Doubly Unsorted,Max,0.00004100
10000,Doubly Unsorted,Min,0.00003900
10000,Doubly Unsorted,Predecessor,0.00003900
10000,Doubly Unsorted,Successor,0.00003900
10000,Doubly Sorted,Search,0.00003400
10000,Doubly Sorted,Insert,0.00003000
10000,Doubly Sorted,Delete,0.00000000
10000,Doubly Sorted,Max,0.00000000
10000,Doubly Sorted,Min,0.00000000
10000,Doubly Sorted,Predecessor,0.00000000
10000,Doubly Sorted,Successor,0.00000000
12000,Unsorted Array,Search,0.00001700
12000,Unsorted Array,Insert,0.00000000
12000,Unsorted Array,Delete,0.00000000
12000,Unsorted Array,Max,0.00002300
12000,Unsorted Array,Min,0.00002100
12000,Unsorted Array,Predecessor,0.00002200
12000,Unsorted Array,Successor,0.00002200
12000,Sorted Array,Search,0.00000000
12000,Sorted Array,Insert,0.00002600
12000,Sorted Array,Delete,0.00004600
12000,Sorted Array,Max,0.00000000
12000,Sorted Array,Min,0.00000000
12000,Sorted Array,Predecessor,0.00000000
12000,Sorted Array,Successor,0.00000000
12000,Singly Unsorted,Search,0.00002700
12000,Singly Unsorted,Insert,0.00000000
12000,Singly Unsorted,Delete,0.00004900
12000,Singly Unsorted,Max,0.00002500
12000,Singly Unsorted,Min,0.00002700
12000,Singly Unsorted,Predecessor,0.00002600
12000,Singly Unsorted,Successor,0.00002900
12000,Singly Sorted,Search,0.00002500
12000,Singly Sorted,Insert,0.00002400
12000,Singly Sorted,Delete,0.00001800
12000,Singly Sorted,Max,0.00000000
12000,Singly Sorted,Min,0.00000000
12000,Singly Sorted,Predecessor,0.00001000
12000,Singly Sorted,Successor,0.00000000
12000,Doubly Unsorted,Search,0.00003400
12000,Doubly Unsorted,Insert,0.00000000
12000,Doubly Unsorted,Delete,0.00000000
12000,Doubly Unsorted,Max,0.00003400
12000,Doubly Unsorted,Min,0.00003400
12000,Doubly Unsorted,Predecessor,0.00003400
12000,Doubly Unsorted,Successor,0.00003500
12000,Doubly Sorted,Search,0.00003200
12000,Doubly Sorted,Insert,0.00002900
12000,Doubly Sorted,Delete,0.00000000
12000,Doubly Sorted,Max,0.00000000
12000,Doubly Sorted,Min,0.00000000
12000,Doubly Sorted,Predecessor,0.00000000
12000,Doubly Sorted,Successor,0.00000000
14000,Unsorted Array,Search,0.00001700
14000,Unsorted Array,Insert,0.00000000
14000,Unsorted Array,Delete,0.00000000
14000,Unsorted Array,Max,0.00003500
14000,Unsorted Array,Min,0.00002300
14000,Unsorted Array,Predecessor,0.00002600
14000,Unsorted Array,Successor,0.00002200
14000,Sorted Array,Search,0.00000000
14000,Sorted Array,Insert,0.00003000
14000,Sorted Array,Delete,0.00005200
14000,Sorted Array,Max,0.00000000
14000,Sorted Array,Min,0.00000000
14000,Sorted Array,Predecessor,0.00000000
14000,Sorted Array,Successor,0.00000000
14000,Singly Unsorted,Search,0.00002800
14000,Singly Unsorted,Insert,0.00000100
14000,Singly Unsorted,Delete,0.00005600
14000,Singly Unsorted,Max,0.00002600
14000,Singly Unsorted,Min,0.00003000
14000,Singly Unsorted,Predecessor,0.00002900
14000,Singly Unsorted,Successor,0.00003200
14000,Singly Sorted,Search,0.00002800
14000,Singly Sorted,Insert,0.00002600
14000,Singly Sorted,Delete,0.00002200
14000,Singly Sorted,Max,0.00000000
14000,Singly Sorted,Min,0.00000000
14000,Singly Sorted,Predecessor,0.00001100
14000,Singly Sorted,Successor,0.00000000
14000,Doubly Unsorted,Search,0.00003800
14000,Doubly Unsorted,Insert,0.00000000
14000,Doubly Unsorted,Delete,0.00000000
14000,Doubly Unsorted,Max,0.00003900
14000,Doubly Unsorted,Min,0.00004800
14000,Doubly Unsorted,Predecessor,0.00003900
14000,Doubly Unsorted,Successor,0.00004100
14000,Doubly Sorted,Search,0.00003800
14000,Doubly Sorted,Insert,0.00003400
14000,Doubly Sorted,Delete,0.00000000
14000,Doubly Sorted,Max,0.00000000
14000,Doubly Sorted,Min,0.00000000
14000,Doubly Sorted,Predecessor,0.00000000
14000,Doubly Sorted,Successor,0.00000000
16000,Unsorted Array,Search,0.00002400
16000,Unsorted Array,Insert,0.00000000
16000,Unsorted Array,Delete,0.00000000
16000,Unsorted Array,Max,0.00003400
16000,Unsorted Array,Min,0.00003200
16000,Unsorted Array,Predecessor,0.00003400
16000,Unsorted Array,Successor,0.00002800
16000,Sorted Array,Search,0.00000000
16000,Sorted Array,Insert,0.00003200
16000,Sorted Array,Delete,0.00007100
16000,Sorted Array,Max,0.00000000
16000,Sorted Array,Min,0.00000000
16000,Sorted Array,Predecessor,0.00000000
16000,Sorted Array,Successor,0.00000000
16000,Singly Unsorted,Search,0.00003300
16000,Singly Unsorted,Insert,0.00000000
16000,Singly Unsorted,Delete,0.00005800
16000,Singly Unsorted,Max,0.00003000
16000,Singly Unsorted,Min,0.00003400
16000,Singly Unsorted,Predecessor,0.00003200
16000,Singly Unsorted,Successor,0.00003400
16000,Singly Sorted,Search,0.00003200
16000,Singly Sorted,Insert,0.00003200
16000,Singly Sorted,Delete,0.00004600
16000,Singly Sorted,Max,0.00000000
16000,Singly Sorted,Min,0.00000000
16000,Singly Sorted,Predecessor,0.00002000
16000,Singly Sorted,Successor,0.00000000
16000,Doubly Unsorted,Search,0.00005700
16000,Doubly Unsorted,Insert,0.00000000
16000,Doubly Unsorted,Delete,0.00000000
16000,Doubly Unsorted,Max,0.00005500
16000,Doubly Unsorted,Min,0.00004900
16000,Doubly Unsorted,Predecessor,0.00004700
16000,Doubly Unsorted,Successor,0.00004700
16000,Doubly Sorted,Search,0.00004200
16000,Doubly Sorted,Insert,0.00003900
16000,Doubly Sorted,Delete,0.00000000
16000,Doubly Sorted,Max,0.00000000
16000,Doubly Sorted,Min,0.00000000
16000,Doubly Sorted,Predecessor,0.00000000
16000,Doubly Sorted,Successor,0.00000000
18000,Unsorted Array,Search,0.00002300
18000,Unsorted Array,Insert,0.00000000
18000,Unsorted Array,Delete,0.00000000
18000,Unsorted Array,Max,0.00003400
18000,Unsorted Array,Min,0.00002800
18000,Unsorted Array,Predecessor,0.00003400
18000,Unsorted Array,Successor,0.00002900
18000,Sorted Array,Search,0.00000000
18000,Sorted Array,Insert,0.00004100
18000,Sorted Array,Delete,0.00007000
18000,Sorted Array,Max,0.00000000
18000,Sorted Array,Min,0.00000000
18000,Sorted Array,Predecessor,0.00000000
18000,Sorted Array,Successor,0.00000000
18000,Singly Unsorted,Search,0.00003900
18000,Singly Unsorted,Insert,0.00000000
18000,Singly Unsorted,Delete,0.00006700
18000,Singly Unsorted,Max,0.00003700
18000,Singly Unsorted,Min,0.00004000
18000,Singly Unsorted,Predecessor,0.00003900
18000,Singly Unsorted,Successor,0.00004100
18000,Singly Sorted,Search,0.00003800
18000,Singly Sorted,Insert,0.00003500
18000,Singly Sorted,Delete,0.00007000
18000,Singly Sorted,Max,0.00000000
18000,Singly Sorted,Min,0.00000000
18000,Singly Sorted,Predecessor,0.00001600
18000,Singly Sorted,Successor,0.00000000
18000,Doubly Unsorted,Search,0.00005500
18000,Doubly Unsorted,Insert,0.00000000
18000,Doubly Unsorted,Delete,0.00000000
18000,Doubly Unsorted,Max,0.00004900
18000,Doubly Unsorted,Min,0.00004900
